-6,-21,-25,-25,-25,-25,-22,-25,-25,-23,-21,-17,-19,-19
12,-5,-15,-14,-11,-8,-7,-8,-6,-8,-7,-5,-4,-4
27,15,5,7,5,5,5,5,5,4,5,5,5,5
84,78,73,74,73,73,70,65,63,71,62,55,57,57
84,78,73,74,73,73,70,65,63,71,62,55,57,57
84,78,73,74,73,73,70,65,63,71,62,55,57,57
84,78,73,74,73,73,70,65,63,71,62,55,57,57
110,110,109,112,108,111,110,108,106,101,89,81,72,72
118,118,117,125,122,126,119,116,113,106,89,89,76,76
127,126,126,129,127,129,124,122,116,107,106,89,80,80
130,131,131,130,131,131,131,131,121,110,98,87,78,78
